STREET NAME	LOCATION	AADT 2009	AADT 2010	AADT 2011	AADT 2012	AADT 2013
A STREET S	S/O 112 ST E	2975		2650		2575
A STREET S	S/O 121 ST S	2050		2100		1975
A STREET S	N/O 131 ST S	3100		2925		2950
A STREET S	N/O 133 ST E	2050		2025		
A STREET S	S/O 133 ST E	1675		1825		
A P TUBBS ROAD E	N/O LARSON-LOSS RD E		1875		1725	
A P TUBBS ROAD E	S/O LARSON-LOSS RD E		1200		1200	
AINSWORTH AVENUE S	N/O TULE LAKE RD S	2875		2475		2075
AINSWORTH AVENUE S	S/O 116 ST S	4000		2575		3125
AINSWORTH AVENUE S	S/O 112 ST S	4425	3825	4450	3925	3975
AINSWORTH AVENUE S	N/O 112 ST S	4900		4925		4350
AINSWORTH AVENUE S	N/O 108 ST S	3925		3600		3375
AINSWORTH AVENUE S	S/O 96 ST S	4475		3550		3275
ALDER CUTOFF ROAD E	NE/O SR 7	2475		2425		2675
ALDER CUTOFF ROAD E	S/O MASHELL RIVER	4050		2750	4875	2875
ALDER CUTOFF ROAD E	SE/O SCOTT TURNER RD	2750		2775		2875
ALLEN ROAD S  (40 AV)	S/O SR 702	1025		1125		1000
ALLEN ROAD S  (40 AV)	N/O HARTS LAKE RD S	450		350		375
ANGELINE ROAD E	N/O RHODES LK RD E					
AQUEDUCT DR E	NW/O 128 ST E	775		800		800
AQUEDUCT DR E	NW/O 121 ST E					
ARTONDALE DRIVE NW	W/O WOLLOCHET DR NW		4400		4075	
ARTONDALE DRIVE NW	W/O RAY NASH DR NW		1200		1000	
B STREET E	S/O 192 ST E	2950			2000	2600
B STREET E	S/O 176 ST E	7650			6475	7800
B STREET E	N/O 176 ST E	5150			4250	4075
B STREET E	N/O 168 ST E	4825	5175	4200	4700	4350
B STREET E	N/O 159 ST E	3850		3425		3425
B STREET E	S/O 159 ST E	4900	4400	3700	4225	4700
BAYVIEW ROAD KPN	E/O BLISS COCHRANE RD	275		275		250
BENSTON DR E	SE/O MILWAUKEE AV E		1600		1225	
BENTLEY ROAD E	NE/O 72 ST E		1525		1400	
BINGHAM AVENUE E	S/O 128 ST E	1750		1575		1625
BINGHAM AVENUE E	S/O 112 ST E	2100	2050	1925	1800	1925
BLISS COCHRANE RD K	NS/O 100 ST KPN	100		75		75
BLISS COCHRANE RD K	SW/O SR 302	575		500		525
